Zeitraum,Sharpe_Ratio,Gesamtrendite,Drawdown,Trades,Ø_Position,Tage
Training,0.4080947236349146,0.5358323159057896,-0.12220751529392962,916,0.5537099903006789,2062
Test,0.5089597649996321,0.6351495939821563,-0.15542825370019767,118,0.5337918660287081,1672
Voll,0.4570123941239072,1.516576042220656,-0.15542825370019717,1034,0.5448580610605249,3734
