DATE,BULL_QUIET,POST_PANIC_REVERSION,BULL_FRAGILE
1990-01-03,0.3050891606385288,0.6770503371650625,0.017860502196408633
1990-01-04,0.3371137157362292,0.6515022292379201,0.011384055025850473
1990-01-05,0.3073037370135057,0.685637669169226,0.0070585938172681925
1990-01-08,0.1819274773580541,0.8148617273602974,0.003210795281648442
1990-01-09,0.53354736634227,0.4498525836371563,0.01660005002057333
1990-01-10,0.3376346269924872,0.6562068234133323,0.00615854959418065
1990-01-11,0.626179931614037,0.3551934385373525,0.018626629848610503
1990-01-12,0.7708035637550369,8.68835502553181e-06,0.2291877478899377
1990-01-15,0.7959875595158677,0.0928666061831955,0.11114583430093686
1990-01-16,0.7841060201344934,0.15347916836113779,0.062414811504368894
1990-01-17,0.5625962609397925,0.4183907065373812,0.019013032522826247
1990-01-18,0.3546917772057773,0.6385934886432716,0.006714734150951014
1990-01-19,0.38937300136005754,0.6021670901039478,0.008459908535994702
1990-01-22,0.902460611716596,0.0010662447153964557,0.09647314356800749
1990-01-23,0.8369526171715128,0.11371291734964836,0.04933446547883889
1990-01-24,0.6681269537706922,0.31341733614152384,0.018455710087783996
1990-01-25,0.4440683781993317,0.5486299367940011,0.007301685006667435
1990-01-26,0.3051596562607599,0.6904388698128827,0.004401473926357331
1990-01-29,0.17905980336011676,0.818245669823155,0.002694526816728127
1990-01-30,0.1409819855385328,0.8562902860093399,0.002727728452127232
1990-01-31,0.17204231205728762,0.8231332857237185,0.004824402218994104
1990-02-01,0.10519623671543696,0.8924077025077453,0.002396060776818039
1990-02-02,0.07377589489931981,0.9243694747991448,0.0018546303015354593
1990-02-05,0.060656009753874814,0.9376553268934606,0.0016886633526645527
1990-02-06,0.05349124222383777,0.9449107966584477,0.0015979611177147118
1990-02-07,0.04864283441866259,0.9498150699497788,0.00154209563155865
1990-02-08,0.04749835585828609,0.9509284846306791,0.0015731595110349825
1990-02-09,0.045740011376961494,0.9527671554109687,0.0014928332120695586
1990-02-12,0.05933422705608632,0.9386351690795932,0.00203060386432055
1990-02-13,0.053567272227166673,0.9446969998531071,0.0017357279197259064
1990-02-14,0.1045123240747477,0.8910534396394096,0.0044342362858427195
