stress_threshold,reversion_threshold,vix_bull_fragile,gex_override,pos_stress,pos_reversion,pos_fragile,pos_quiet,pos_neutral,sharpe_ratio,total_return,max_drawdown,num_trades,avg_position
0.94,1.02,25,True,0.0,1.0,0.7,1.0,0.7,0.8374176127369439,5.9232881114650455,-0.21863789524065466,277,0.9214684959349593
0.94,1.02,25,True,0.0,1.0,0.7,1.0,0.5,0.8374176127369439,5.9232881114650455,-0.21863789524065466,277,0.9214684959349593
0.94,1.02,25,True,0.0,1.0,0.7,1.0,0.3,0.8374176127369439,5.9232881114650455,-0.21863789524065466,277,0.9214684959349593
0.94,1.02,25,True,0.0,1.0,0.8,1.0,0.5,0.8370340047950409,6.0387896494216475,-0.22143864171047345,277,0.926219512195122
0.94,1.02,25,True,0.0,1.0,0.8,1.0,0.3,0.8370340047950409,6.0387896494216475,-0.22143864171047345,277,0.926219512195122
0.94,1.02,25,True,0.0,1.0,0.8,1.0,0.7,0.8370340047950409,6.0387896494216475,-0.22143864171047345,277,0.926219512195122
0.94,1.06,25,True,0.0,1.0,0.8,1.0,0.7,0.8366225282674901,6.47356314581457,-0.21355730147806049,190,0.9567581300813008
0.94,1.06,25,True,0.0,1.0,0.8,1.0,0.3,0.8366225282674901,6.47356314581457,-0.21355730147806049,190,0.9567581300813008
0.94,1.06,25,True,0.0,1.0,0.8,1.0,0.5,0.8366225282674901,6.47356314581457,-0.21355730147806049,190,0.9567581300813008
0.94,1.02,15,True,0.0,1.0,0.8,1.0,0.7,0.836606965164964,5.137903634853453,-0.21258479294671984,613,0.8388211382113822
0.94,1.02,15,True,0.0,1.0,0.8,1.0,0.3,0.836606965164964,5.137903634853453,-0.21258479294671984,613,0.8388211382113822
0.94,1.02,15,True,0.0,1.0,0.8,1.0,0.5,0.836606965164964,5.137903634853453,-0.21258479294671984,613,0.8388211382113822
0.94,1.02,25,True,0.0,1.0,0.6,1.0,0.3,0.8365759107262074,5.806609395357475,-0.21583517376383837,277,0.9167174796747967
0.94,1.02,25,True,0.0,1.0,0.6,1.0,0.7,0.8365759107262074,5.806609395357475,-0.21583517376383837,277,0.9167174796747967
0.94,1.02,25,True,0.0,1.0,0.6,1.0,0.5,0.8365759107262074,5.806609395357475,-0.21583517376383837,277,0.9167174796747967
0.94,1.06,25,True,0.0,1.0,0.7,1.0,0.7,0.8360956857314118,6.381430759802654,-0.21278029080695277,190,0.9536839430894308
0.94,1.06,25,True,0.0,1.0,0.7,1.0,0.5,0.8360956857314118,6.381430759802654,-0.21278029080695277,190,0.9536839430894308
0.94,1.06,25,True,0.0,1.0,0.7,1.0,0.3,0.8360956857314118,6.381430759802654,-0.21278029080695277,190,0.9536839430894308
0.94,1.06,35,True,0.0,1.0,0.6,1.0,0.5,0.8354186847929546,6.6541911533555345,-0.21511132282027598,116,0.9629065040650406
0.94,1.06,35,True,0.0,1.0,0.6,1.0,0.7,0.8354186847929546,6.6541911533555345,-0.21511132282027598,116,0.9629065040650406
