Date,BULL_QUIET,POST_PANIC_REVERSION,BULL_FRAGILE
1990-01-03,0.6459790095838346,0.33078613344989816,0.023234856966267106
1990-01-04,0.5319528242129032,0.450658938812568,0.017388236974529046
1990-01-05,0.3479774287618679,0.6362104968661497,0.015812074371982607
1990-01-08,0.5047671213268433,0.4886634933496891,0.006569385323467375
1990-01-09,0.20695899430906148,0.782954778769531,0.010086226921407341
1990-01-10,0.21774246714603268,0.7750507381292864,0.007206794724680901
1990-01-11,0.37247166448289665,0.6233309388406323,0.004197396676471128
1990-01-12,0.0003118748652932959,0.9609060212897618,0.03878210384494478
1990-01-15,0.016531481018024166,0.95968745306348,0.023781065918495905
1990-01-16,0.02663061983690192,0.9555438544571766,0.017825525705921642
1990-01-17,0.024215743128533047,0.9619129278759149,0.013871328995552401
1990-01-18,0.09617471592326829,0.8959842178938522,0.007841066182879821
1990-01-19,0.21186454642386227,0.7830819820687965,0.005053471507341116
1990-01-22,6.865470982385898e-05,0.9537935252127684,0.046137820077407576
1990-01-23,0.04894433505797738,0.9294419338099604,0.02161373113206224
1990-01-24,0.10340794851617315,0.885087059962054,0.011504991521773028
1990-01-25,0.026421163143391938,0.9603149141733057,0.013263922683302828
1990-01-26,0.0964339596644118,0.8960126764351591,0.007553363900428937
1990-01-29,0.19793354241690173,0.7970535521127591,0.00501290547033928
1990-01-30,0.20185877291507923,0.7931785626006913,0.004962664484229589
1990-01-31,0.012356287410948243,0.972140227178146,0.015503485410905814
1990-02-01,0.07214615237219076,0.919299156086717,0.008554691541092676
1990-02-02,0.13473859387854567,0.858908362251467,0.006353043869987054
1990-02-05,0.2689604251244937,0.7267637142534671,0.004275860622038944
1990-02-06,0.2754970909680848,0.7201932383351796,0.0043096706967358945
1990-02-07,0.15352147643670597,0.8395567728085721,0.006921750754722178
1990-02-08,0.2686720698940272,0.7267834577104308,0.0045444723955419325
1990-02-09,0.4468960922342832,0.5501742370705933,0.002929670695123592
1990-02-12,0.2306170457166242,0.7639407448228466,0.005442209460529271
1990-02-13,0.3955776694512729,0.6009642910881171,0.003458039460610031
1990-02-14,0.5734628246374898,0.42434821962511765,0.002188955737392419
1990-02-15,0.5836887064067722,0.41386678181222997,0.0024445117809977343
1990-02-16,0.5787083378222075,0.4188546450817525,0.002437017096039663
1990-02-20,0.12820987017797225,0.8633143728277781,0.008475756994249808
1990-02-21,0.2536601462048325,0.7413081730803006,0.005031680714867003
1990-02-22,0.2829319861955014,0.7126106760818834,0.004457337722615227
1990-02-23,0.35726141136500794,0.6390745277058797,0.0036640609291123775
1990-02-26,0.1412247374802609,0.8510014876918709,0.007773774827868085
1990-02-27,0.25331609060813914,0.7415629706232854,0.005120938768575482
1990-02-28,0.3902329262667925,0.6061696541361951,0.0035974195970124457
1990-03-01,0.5722378566501605,0.42554971284998167,0.0022124304998576583
1990-03-02,0.5938243889220025,0.4038144758020155,0.002361135275981997
1990-03-05,0.6351987969202534,0.3627948656367184,0.0020063374430281168
1990-03-06,0.42255094786788744,0.5729856876125763,0.004463364519536663
1990-03-07,0.5563213661902243,0.4410124976427534,0.0026661361670219886
1990-03-08,0.509867278861134,0.4868225595652665,0.0033101615735996164
1990-03-09,0.4891940209667743,0.5075617189163388,0.003244260116886912
1990-03-12,0.6644979253657549,0.3337272268054241,0.001774847828821065
1990-03-13,0.5869767780618533,0.41061757634009627,0.0024056455980503858
1990-03-14,0.7401584702811672,0.2585294485269981,0.0013120811918349074
1990-03-15,0.8396833908921377,0.15956866028513314,0.0007479488227287849
1990-03-16,0.7342122751902361,0.26416565398717196,0.0016220708225917167
1990-03-19,0.824070004012844,0.17500860820451944,0.0009213877826363154
1990-03-20,0.8286923945588135,0.1704606126591891,0.0008469927819974361
1990-03-21,0.8406647067050677,0.15857907625231293,0.0007562170426193773
1990-03-22,0.5345225974148636,0.4623462808256593,0.003131121759476908
1990-03-23,0.6753821967032332,0.3227769195437901,0.0018408837529764934
1990-03-26,0.8066455383269072,0.192417587530809,0.0009368741422840931
1990-03-27,0.6872132245348606,0.31078817779489476,0.001998597670244598
1990-03-28,0.8144766131074629,0.18457370818942137,0.0009496787031157103
1990-03-29,0.8620625097279683,0.13730282864400314,0.0006346616280284247
