Kennzahl,Ohne Kosten,Mit Kosten
Gesamtrendite,151.66%,95.13%
Sharpe Ratio,0.46,0.29
Max. Drawdown,-15.54%,-15.97%
Anzahl Trades,1034,1034
Ø Position,54.5%,54.5%
Tage,3734,3734
Kosten (absolut),-,0.2544
